"id","playlist_name","modifiedat","numfollowers","numtracks","collaborative"
145,"~chill~","2016-09-10 20:00:00",1,120,False
146,"country favorites","2017-04-13 20:00:00",1,21,False
147,"car 2 ","2016-12-26 19:00:00",1,36,False
148,"plane:))","2015-12-19 19:00:00",7,119,False
149,"Nick's Playlist","2013-07-14 20:00:00",1,248,False
150,"Calm down","2016-04-30 20:00:00",1,49,False
151,"Hmmm!!!","2016-09-30 20:00:00",1,47,False
152,"80's","2017-06-04 20:00:00",3,112,False
153,"2016.2","2016-07-13 20:00:00",1,59,False
154,"Nice Songs","2017-09-08 20:00:00",1,185,False
155,"Party hard","2017-10-23 20:00:00",1,43,False
156,"Raggae","2017-06-19 20:00:00",2,11,False
157,"summer☀️","2017-02-09 19:00:00",1,14,False
158,"la playa","2017-07-22 20:00:00",1,48,False
159,"Anything and everything","2017-10-08 20:00:00",1,88,False
160,"Jammin","2017-08-15 20:00:00",2,26,False
161,"My jam","2017-07-12 20:00:00",2,159,False
162,"Good music.","2016-03-30 20:00:00",1,66,False
163,"jESSICA","2013-06-02 20:00:00",1,77,False
164,"90s Hits","2016-04-21 20:00:00",2,52,False
165,"run","2016-01-16 19:00:00",1,5,False
166,"shower","2017-09-21 20:00:00",1,19,False
167,"Musica Latina","2013-11-12 19:00:00",1,36,False
168,"praise","2017-10-09 20:00:00",1,121,False
169,"FLORIDA ","2015-04-21 20:00:00",1,66,False
170,"emma.","2017-10-31 20:00:00",1,53,False
171,"mood","2017-09-25 20:00:00",1,23,False
172,"<3","2017-09-29 20:00:00",1,201,False
173,"The Weeknd","2017-02-04 19:00:00",1,42,False
174,"Noosa Tastiest Playlist","2016-08-01 20:00:00",1,26,False
175,"real","2016-04-21 20:00:00",1,124,False
176,"Dance music","2015-05-25 20:00:00",1,11,False
177,"Aurora","2015-06-28 20:00:00",1,71,False
178,"2014","2015-01-10 19:00:00",1,15,False
179,"Super Chill","2017-08-19 20:00:00",2,194,False
180,"travel","2017-05-19 20:00:00",1,83,False
181,"House","2017-09-12 20:00:00",1,20,False
182,"Guitar Songs","2017-07-24 20:00:00",1,18,False
183,"Lonely","2017-03-16 20:00:00",1,30,False
184,"jamin","2017-05-09 20:00:00",4,200,False
185,"Punk","2014-12-05 19:00:00",1,43,False
186,"Vibe","2014-06-18 20:00:00",1,53,False
187,"misc.","2017-10-11 20:00:00",2,37,False
188,"Sam","2017-06-09 20:00:00",1,50,False
189,"Get Psyched Mix","2017-09-22 20:00:00",1,21,False
190,"sprang","2016-12-25 19:00:00",1,159,False
191,"jazz","2015-06-05 20:00:00",1,214,False
192,"Worship","2017-02-26 19:00:00",2,76,True
193,"raggae","2017-05-11 20:00:00",2,15,False
194,"Road Trippin","2017-07-06 20:00:00",1,85,False
195,"K-Pop","2017-05-15 20:00:00",1,71,False
196,"Luna","2017-02-02 19:00:00",1,19,True
197,"drizzy","2017-10-30 20:00:00",1,37,False
198,"Worship","2015-05-26 20:00:00",1,49,False
199,"2.0","2017-10-03 20:00:00",1,34,False
200,"indie","2014-07-11 20:00:00",4,200,False
201,"Summer 2017","2017-06-22 20:00:00",2,60,False
202,"California","2017-10-06 20:00:00",1,101,False
203,"😻😻","2016-03-29 20:00:00",1,34,False
204,"camp","2017-08-20 20:00:00",2,16,False
205,"DANG.","2017-06-18 20:00:00",1,51,False
206,"Hip hop","2017-07-27 20:00:00",2,171,False
207,"Workout","2017-08-14 20:00:00",3,63,False
208,"Everyday","2017-03-23 20:00:00",1,73,False
209,"dd","2017-10-28 20:00:00",1,20,False
210,"mountains","2017-09-21 20:00:00",1,60,False
211,"beach week","2015-06-15 20:00:00",2,19,False
212,"summer2015","2015-08-09 20:00:00",1,26,False
213,"Holiday","2015-12-13 19:00:00",1,26,False
214,"Cheese","2017-03-28 20:00:00",2,95,False
215,"January","2017-05-03 20:00:00",1,35,False
216,"rap","2017-09-06 20:00:00",1,36,False
217,"old bangers ","2017-10-03 20:00:00",1,129,False
218,"Christian ","2016-11-17 19:00:00",1,22,False
219,"Bob Dylan","2016-02-06 19:00:00",1,75,False
220,"Ninja Sex Party","2017-10-26 20:00:00",1,48,False
221,"litty titty","2017-10-18 20:00:00",1,212,False
222," Pt. 2","2017-07-18 20:00:00",3,32,False
223,"newness","2017-10-30 20:00:00",2,69,False
224,"Just Dance","2017-06-16 20:00:00",1,90,False
225,"4th of July","2014-07-03 20:00:00",1,37,False
226,"Spiritual","2017-02-06 19:00:00",1,26,False
227,"NG","2017-07-09 20:00:00",1,41,False
228,"***START***","2015-10-29 20:00:00",3,24,False
229,"NewNew","2017-10-29 20:00:00",2,83,False
230,"Bob Dylan","2016-02-06 19:00:00",1,75,False
231,"Ninja Sex Party","2017-10-26 20:00:00",1,48,False
232,"litty titty","2017-10-18 20:00:00",1,212,False
233," Pt. 2","2017-07-18 20:00:00",3,32,False
234,"newness","2017-10-30 20:00:00",2,69,False
235,"Just Dance","2017-06-16 20:00:00",1,90,False
236,"Bob Dylan","2016-02-06 19:00:00",1,75,False
237,"Ninja Sex Party","2017-10-26 20:00:00",1,48,False
238,"litty titty","2017-10-18 20:00:00",1,212,False
239," Pt. 2","2017-07-18 20:00:00",3,32,False
240,"newness","2017-10-30 20:00:00",2,69,False
241,"Just Dance","2017-06-16 20:00:00",1,90,False
242,"4th of July","2014-07-03 20:00:00",1,37,False
243,"Bob Dylan","2016-02-06 19:00:00",1,75,False
244,"ON THE RUN","2014-12-25 19:00:00",1,61,False
245,"Biking","2015-06-30 20:00:00",1,144,False
246,"August","2017-09-09 20:00:00",1,38,False
247,"run mix","2016-04-01 20:00:00",1,16,False
248,"Gospel","2017-10-05 20:00:00",1,28,False
249,"disney","2017-06-21 20:00:00",1,28,False
250,"Tito","2016-08-07 20:00:00",1,79,False
251,"party","2017-07-06 20:00:00",1,121,False
252,"november","2016-11-28 19:00:00",2,24,False
253,"Chillectro","2014-03-15 20:00:00",5,68,False
254,"90's Music","2017-10-11 20:00:00",1,115,False
255,"fiesta","2017-09-27 20:00:00",1,160,False
256,"The Feel-Good Flavors Playlist","2013-09-17 20:00:00",1,40,False
257,"disney","2015-11-04 19:00:00",2,46,False
258,"throwbacks ","2016-12-01 19:00:00",1,25,False
259,"Fall 2015","2016-02-18 19:00:00",1,39,False
260,"Summer","2017-07-16 20:00:00",1,83,False
261,"three","2016-08-21 20:00:00",1,12,False
262,"bub","2016-12-07 19:00:00",1,27,False
263,"Road Trip","2016-08-27 20:00:00",2,128,False
264,"Amanda","2017-10-26 20:00:00",2,131,False
265,"Hard Rock....","2017-08-29 20:00:00",1,52,False
266,"Club Music","2017-07-09 20:00:00",1,34,False
267,"summer :)","2017-07-20 20:00:00",1,14,False
268,"uzi","2017-06-06 20:00:00",1,27,False
269,"Chill Music","2015-03-18 20:00:00",1,20,True
270,"Bring it back","2017-08-10 20:00:00",1,137,False
271,"Sweet songs","2014-02-15 19:00:00",1,20,False
272,"control","2016-10-23 20:00:00",1,18,False
273,"Jay-Z","2017-08-29 20:00:00",1,109,False
274,"negreo","2017-05-03 20:00:00",1,36,False
275,"80's","2017-05-14 20:00:00",1,43,True
276,"Dance","2017-10-27 20:00:00",1,60,False
277,"lifestyle","2017-02-26 19:00:00",1,17,False
278,"weekend playlist","2015-03-08 20:00:00",2,79,False
279,"kate's playlist","2017-03-23 20:00:00",1,20,False
280,"goodies","2017-05-19 20:00:00",1,40,False
281,"Hymns","2013-10-20 20:00:00",2,54,False
282,"Musica","2017-10-23 20:00:00",1,136,False
283,"love.","2017-03-14 20:00:00",1,11,False
284,"oldschool","2017-09-15 20:00:00",1,189,False
285,"content","2017-01-05 19:00:00",2,116,False
286,"party mix","2017-07-12 20:00:00",1,53,False
287,"Christian Mix","2017-09-02 20:00:00",1,121,False
288,"2000s","2017-09-24 20:00:00",6,61,False
289,"Throwback","2017-08-27 20:00:00",1,29,False
290,"vibe","2017-08-24 20:00:00",1,32,False
291,"my favs","2015-03-02 19:00:00",1,90,False
292,"new songs","2016-05-29 20:00:00",1,40,False
293,"Praise & Worship","2016-08-31 20:00:00",1,49,False
294,"My favs","2014-08-22 20:00:00",1,13,False
295,"Disney Jams","2017-01-13 19:00:00",1,38,False
296,"Art.","2016-02-21 19:00:00",1,34,False
297,"Party","2017-09-17 20:00:00",1,36,False
298,"Party","2017-01-08 19:00:00",1,104,False
299,"Indie Vibes","2017-10-21 20:00:00",1,154,False
300,"Just for me ","2016-09-14 20:00:00",2,59,False
301,"WEEKENDS","2016-10-31 20:00:00",1,8,False
302,"Adele – 21","2015-12-18 19:00:00",1,103,False
303,"jelly","2015-07-10 20:00:00",1,108,False
304,"chill vibes","2017-06-14 20:00:00",1,22,False
305,"🦄🦄🦄","2016-07-01 20:00:00",1,36,False
306,"Warm","2017-09-30 20:00:00",5,31,False
307,"carr","2017-04-05 20:00:00",1,170,False
308,"Going out","2015-09-20 20:00:00",1,7,False
309,"Wedding reception","2016-05-18 20:00:00",1,23,True
310,"basketball","2017-10-20 20:00:00",1,33,False
311,"ULTIMATE","2016-07-29 20:00:00",1,36,False
312,"Worship","2017-08-30 20:00:00",2,63,False
313,"Heavy metal","2016-11-13 19:00:00",1,127,False
314,"Older","2017-08-17 20:00:00",1,184,False
315,"Thomas Rhett","2017-10-17 20:00:00",29,95,False
316,"sway","2017-06-28 20:00:00",1,65,False
317,"chillo","2016-05-24 20:00:00",1,97,False
318,"Worship Music","2017-09-27 20:00:00",1,126,False
319,"Fresh Beats","2017-06-10 20:00:00",5,91,False
320,"Existential Crisis","2015-08-09 20:00:00",1,24,False
321,"Fresh","2017-01-06 19:00:00",4,57,False
322,"why not","2017-07-28 20:00:00",1,16,False
323,"Yum","2017-06-19 20:00:00",1,25,False
324,"trippy","2017-10-08 20:00:00",1,29,False
325,"rn","2017-10-21 20:00:00",1,11,False
326,"August","2014-08-29 20:00:00",1,24,False
327,"throwbacks","2015-10-16 20:00:00",1,39,False
328,"wedding","2016-10-24 20:00:00",1,44,False
329,"Heat","2017-09-25 20:00:00",1,93,False
330,"Indy","2017-02-17 19:00:00",1,91,False
331,"Stuff I Like","2016-07-26 20:00:00",1,39,False
332,"Alive","2017-03-04 19:00:00",1,39,False
333,"Summer 13","2013-09-06 20:00:00",2,62,False
334,"Movie Themes","2017-07-09 20:00:00",1,169,False
335,"London Calling","2017-05-12 20:00:00",2,173,False
336,"Fresh Tunes","2017-10-25 20:00:00",1,80,False
337,"relax","2013-12-10 19:00:00",1,90,False
338,"90s","2017-06-03 20:00:00",1,26,False
339,"Classic Rock ","2015-02-20 19:00:00",1,50,False
340,"c h i l l ","2016-02-23 19:00:00",1,40,False
341,"jams","2017-06-03 20:00:00",1,120,False
342,"Top Tracks","2014-03-11 20:00:00",1,91,False
343,"good songs ","2017-06-07 20:00:00",1,37,False
344,"autumn","2016-10-23 20:00:00",1,8,False
345,"idk","2014-12-03 19:00:00",1,10,True
346,"GIrl power","2017-10-20 20:00:00",1,27,False
347,"My 80's","2017-08-02 20:00:00",2,232,False
348,"Chill Vibes","2014-12-25 19:00:00",1,44,False
349,"Future – DS2 (Deluxe)","2016-04-09 20:00:00",4,173,False
350,"STUDY","2016-12-03 19:00:00",1,28,False
351,"It's not a phase mom!","2016-04-14 20:00:00",1,81,False
352,"LIT ","2017-10-01 20:00:00",1,30,False
353,"my music","2015-09-03 20:00:00",2,12,False
354,"Musicals!","2017-10-29 20:00:00",1,98,False
355,"tailgate","2017-10-26 20:00:00",2,242,False
356,"Gym","2017-04-25 20:00:00",1,21,False
357,"Merry Litmas","2016-11-28 19:00:00",2,25,False
358,"It's a Trap!","2016-08-21 20:00:00",1,12,False
359,"pissed off","2015-07-28 20:00:00",1,114,False
360,"christmas","2017-10-13 20:00:00",2,78,False
361,"morning","2017-09-29 20:00:00",1,33,False
362,"arctic monkeys","2016-06-20 20:00:00",1,72,False
363,"OK","2015-02-27 19:00:00",1,35,False
364,"Jazz","2017-05-21 20:00:00",1,19,False
365,"jams","2017-08-27 20:00:00",1,34,False
366,"PARTAY","2017-10-31 20:00:00",1,67,False
367,"Workout playlist","2015-10-15 20:00:00",1,41,False
368,"Klara ","2016-08-19 20:00:00",1,109,False
369,"?¿","2017-10-29 20:00:00",1,43,False
370,"🤘🏼","2017-10-31 20:00:00",1,43,False
371,"Nirvana","2015-10-11 20:00:00",1,23,False
372,"Fall/Winter 2016","2017-01-19 19:00:00",2,22,False
373,"2000","2017-04-30 20:00:00",4,86,False
374,"Merengue","2016-02-27 19:00:00",1,8,False
375,"good times","2015-01-31 19:00:00",1,34,False
376,"Pop Punk","2013-08-11 20:00:00",5,187,False
377,"Dance","2015-10-16 20:00:00",3,14,False
378,"New Country","2017-10-31 20:00:00",1,82,False
379,"90's","2017-05-19 20:00:00",1,74,False
380,"punk rock","2016-03-31 20:00:00",1,16,False
381,"college","2017-10-26 20:00:00",1,162,False
382,"Nov","2016-02-10 19:00:00",1,48,False
383,"just good","2016-12-05 19:00:00",2,12,False
384,"dancing with myself","2017-05-02 20:00:00",1,47,False
385,"Ain't No Sunshine","2017-09-03 20:00:00",1,123,False
386,"Always","2015-09-11 20:00:00",1,224,False
387,"Corridos ","2015-10-17 20:00:00",1,46,False
388,"Random","2016-08-03 20:00:00",1,185,False
389,"chillin","2017-02-04 19:00:00",4,185,False
390,"Eros","2016-03-22 20:00:00",1,14,False
391,"🤙🏼🤙🏼","2017-05-24 20:00:00",2,89,False
392,"Nostalgia","2014-12-18 19:00:00",1,11,False
393,"Recovery","2017-05-16 20:00:00",1,38,False
394,"Country Love","2017-08-29 20:00:00",4,108,False
395,"🤤🤤","2017-05-01 20:00:00",1,53,False
396,"breaks","2017-08-13 20:00:00",7,23,False
397,"Hipster","2017-08-14 20:00:00",1,79,False
398,"90s Party","2017-10-10 20:00:00",2,61,False
399,"Spanish","2017-10-17 20:00:00",1,15,False
400,"running","2016-05-12 20:00:00",1,47,False
401,"2014 Summer","2015-04-01 20:00:00",1,21,False
402,"Summer","2017-10-05 20:00:00",2,89,False
403,"Hip Hop","2017-10-28 20:00:00",1,72,False
404,"Best of 2012","2016-12-01 19:00:00",2,250,False
405,"Exercise","2015-08-04 20:00:00",1,49,False
406,"sleep","2017-02-18 19:00:00",2,22,False
407,"songs i like","2017-10-28 20:00:00",1,236,False
408,"Randoms","2014-05-19 20:00:00",1,6,False
409,"Metal","2017-06-02 20:00:00",1,147,False
410,"BOPS","2017-10-30 20:00:00",1,140,False
411,"blah","2017-10-01 20:00:00",2,26,False
412,"morning ;)","2017-10-11 20:00:00",3,19,False
413,"lit","2017-03-27 20:00:00",1,42,False
414,"😇😇","2017-10-12 20:00:00",2,149,False
415,"the best","2017-01-14 19:00:00",1,23,False
416,"Gym Mix","2016-11-23 19:00:00",1,147,False
417,"Calm","2016-08-20 20:00:00",1,21,False
418,"alt","2017-10-17 20:00:00",2,215,False
419,"Red","2015-11-19 19:00:00",1,94,False
420,"work","2015-06-01 20:00:00",1,16,False
421,"sweet summertime","2017-07-17 20:00:00",1,25,False
422,"a little bit country","2013-09-27 20:00:00",1,35,False
423,"Heavy Rotation","2014-03-11 20:00:00",3,14,False
424,"Bonnaroo 2017","2017-05-07 20:00:00",1,11,False
425,"October","2015-11-09 19:00:00",1,20,False
426,"you and i ","2017-10-17 20:00:00",1,139,False
427,"HOLIDAYS","2016-11-22 19:00:00",1,26,False
428,"Roadtripping","2017-06-24 20:00:00",1,91,False
429,"BANDA ROMANTICA","2017-10-11 20:00:00",1,241,False
430,"windows down ","2017-09-16 20:00:00",1,25,False
431,"Party mix","2017-10-04 20:00:00",2,73,False
432,"Halloween Party","2017-10-16 20:00:00",1,72,False
433,"ROCK","2015-01-13 19:00:00",3,164,False
434,"it's lit","2016-06-21 20:00:00",1,78,False
435,"Pride","2014-08-19 20:00:00",2,61,False
436,"Feels Like Summer","2017-08-11 20:00:00",1,60,False
437,"Reception Music","2016-07-06 20:00:00",1,33,True
438,"Rihanna","2016-11-28 19:00:00",1,16,False
439,"spring '17","2017-05-13 20:00:00",1,100,False
440,"Lol","2017-03-05 19:00:00",1,33,False
441,"Party Time","2017-09-21 20:00:00",2,183,False
442,"drivin'","2017-10-27 20:00:00",1,61,False
443,"Halloween","2016-10-13 20:00:00",1,19,False
444,"winter","2017-05-26 20:00:00",2,155,False
445,"Summer","2017-10-22 20:00:00",1,32,False
446,"2000s","2017-06-25 20:00:00",2,128,False
447,"Summer 2016","2016-09-15 20:00:00",1,23,False
448,"summer","2016-08-19 20:00:00",1,10,False
449,"AfterParty","2015-04-29 20:00:00",2,129,False
450,"All songs","2015-02-26 19:00:00",1,61,False
451,"Camp","2017-06-06 20:00:00",4,41,False
452,"Get Hype","2017-10-05 20:00:00",1,28,False
453,"Idfc","2017-08-14 20:00:00",1,88,False
454,"run","2017-10-25 20:00:00",1,59,False
455,"80s","2014-10-11 20:00:00",1,12,False
456,"party","2015-12-11 19:00:00",1,89,False
457,"🌺🌺🌺","2014-11-10 19:00:00",1,28,False
458,"Morning","2015-06-08 20:00:00",1,12,False
459,"CURRENT","2017-10-31 20:00:00",3,45,False
460,"boi","2017-08-30 20:00:00",1,100,False
461,"tribe","2015-07-08 20:00:00",1,22,False
462,"Angel","2016-02-24 19:00:00",1,39,False
463,"SEXY","2015-03-01 19:00:00",1,67,False
464,"Summer 2016","2016-07-03 20:00:00",1,24,False
465,"mellow fellow","2017-10-05 20:00:00",1,131,False
466,"HAPPY!!!!","2017-07-12 20:00:00",1,43,False
467,"Gym","2017-09-26 20:00:00",1,36,False
468,"rad","2016-12-24 19:00:00",1,18,False
469,"sting","2016-02-04 19:00:00",2,156,False
470,"liked. ","2017-10-27 20:00:00",1,48,False
471,"español","2017-06-25 20:00:00",1,64,False
472,"RGT","2017-10-11 20:00:00",1,30,False
473,"Hard","2017-10-25 20:00:00",1,103,False
474,"Tripp","2016-03-03 19:00:00",1,18,False
475,"dinner party","2017-10-05 20:00:00",1,62,False
476,"SING","2016-07-29 20:00:00",2,48,False
477,"Yoga","2014-02-27 19:00:00",1,16,False
478,"NYC","2017-01-11 19:00:00",1,10,False
479,"ROAD TRIP","2016-06-05 20:00:00",1,85,False
480,"Loading...","2016-02-13 19:00:00",1,58,False
481,"Road ","2017-08-28 20:00:00",1,31,False
482,"Cold","2016-03-27 20:00:00",3,31,False
483,"C'est la vie","2016-06-19 20:00:00",4,13,False
484,"Rock favs","2017-09-02 20:00:00",1,116,False
485,"2017 Chill","2017-10-23 20:00:00",1,28,False
486,"90s ","2017-04-04 20:00:00",1,40,True
487,"Jenna","2016-12-06 19:00:00",1,14,False
488,"Techno","2016-12-30 19:00:00",1,148,False
489,"punk","2017-10-24 20:00:00",1,65,False
490,"yeah.","2017-08-31 20:00:00",1,32,False
491,"new likes","2016-02-17 19:00:00",1,85,False
492,"Engagement Party","2016-10-17 20:00:00",1,45,False
493,"cloudy","2016-07-11 20:00:00",1,44,False
494,"DIRTY ","2016-11-21 19:00:00",1,15,False
495,"rock","2017-10-13 20:00:00",2,181,False
496,"DRAKE","2017-10-23 20:00:00",1,191,False
497,"Runnin","2016-04-13 20:00:00",1,33,False
498,"The Goods","2017-05-25 20:00:00",3,39,False
499,"ayyyyy","2017-10-30 20:00:00",1,205,False
500,"Driving","2017-08-03 20:00:00",3,126,False
501,"Ballads","2017-10-31 20:00:00",1,33,False
502,"Party","2017-03-15 20:00:00",1,29,False
503,"Motown","2014-12-08 19:00:00",7,110,True
504,"jams","2017-10-14 20:00:00",2,106,False
505,"Roadtrip ","2017-04-08 20:00:00",1,181,False
506,"pump up","2017-02-26 19:00:00",3,56,False
507,"Falling In Love","2017-04-04 20:00:00",6,55,False
508,"Rock en Español","2016-04-06 20:00:00",1,27,False
509,"chill out","2017-05-22 20:00:00",1,50,False
510,"arabic","2017-07-28 20:00:00",3,87,False
511,"boating","2016-07-01 20:00:00",1,44,False
512,"blues","2017-09-11 20:00:00",1,80,False
513,"New","2017-10-07 20:00:00",1,172,False
